nohup: ignoring input
0.3.1
Starting training
epoch: 1
[epoch:002, iter:00275] Loss: 1.324 | Acc: 51.972% | time: 5.12s 
[epoch:002, iter:00276] Loss: 1.333 | Acc: 51.354% | time: 5.44s 
[epoch:002, iter:00277] Loss: 1.332 | Acc: 51.400% | time: 5.76s 
[epoch:002, iter:00278] Loss: 1.334 | Acc: 51.256% | time: 6.07s 
[epoch:002, iter:00279] Loss: 1.335 | Acc: 51.215% | time: 6.39s 
[epoch:002, iter:00280] Loss: 1.334 | Acc: 51.425% | time: 6.71s 
[epoch:002, iter:00281] Loss: 1.330 | Acc: 51.667% | time: 7.03s 
[epoch:002, iter:00282] Loss: 1.324 | Acc: 51.910% | time: 7.35s 
[epoch:002, iter:00283] Loss: 1.321 | Acc: 52.202% | time: 7.66s 
[epoch:002, iter:00284] Loss: 1.323 | Acc: 52.151% | time: 7.98s 
[epoch:002, iter:00285] Loss: 1.327 | Acc: 51.997% | time: 8.30s 
[epoch:002, iter:00286] Loss: 1.326 | Acc: 51.938% | time: 8.62s 
[epoch:002, iter:00287] Loss: 1.324 | Acc: 52.163% | time: 8.94s 
[epoch:002, iter:00288] Loss: 1.323 | Acc: 52.199% | time: 9.26s 
[epoch:002, iter:00289] Loss: 1.318 | Acc: 52.418% | time: 9.57s 
[epoch:002, iter:00290] Loss: 1.319 | Acc: 52.371% | time: 9.89s 
[epoch:002, iter:00291] Loss: 1.318 | Acc: 52.413% | time: 10.21s 
[epoch:002, iter:00292] Loss: 1.315 | Acc: 52.705% | time: 10.53s 
[epoch:002, iter:00293] Loss: 1.311 | Acc: 52.848% | time: 10.85s 
[epoch:002, iter:00294] Loss: 1.313 | Acc: 52.936% | time: 11.16s 
[epoch:002, iter:00295] Loss: 1.316 | Acc: 52.880% | time: 11.48s 
[epoch:002, iter:00296] Loss: 1.309 | Acc: 53.229% | time: 11.80s 
[epoch:002, iter:00297] Loss: 1.310 | Acc: 53.125% | time: 12.12s 
[epoch:002, iter:00298] Loss: 1.310 | Acc: 52.984% | time: 12.43s 
[epoch:002, iter:00299] Loss: 1.310 | Acc: 52.974% | time: 12.75s 
[epoch:002, iter:00300] Loss: 1.305 | Acc: 53.245% | time: 13.07s 
[epoch:002, iter:00301] Loss: 1.302 | Acc: 53.333% | time: 13.39s 
[epoch:002, iter:00302] Loss: 1.305 | Acc: 53.176% | time: 13.71s 
[epoch:002, iter:00303] Loss: 1.305 | Acc: 53.175% | time: 14.03s 
[epoch:002, iter:00304] Loss: 1.303 | Acc: 53.282% | time: 14.35s 
[epoch:002, iter:00305] Loss: 1.301 | Acc: 53.350% | time: 14.67s 
[epoch:002, iter:00306] Loss: 1.299 | Acc: 53.380% | time: 14.98s 
[epoch:002, iter:00307] Loss: 1.298 | Acc: 53.351% | time: 15.30s 
[epoch:002, iter:00308] Loss: 1.298 | Acc: 53.402% | time: 15.62s 
[epoch:002, iter:00309] Loss: 1.301 | Acc: 53.342% | time: 15.94s 
[epoch:002, iter:00310] Loss: 1.302 | Acc: 53.316% | time: 16.25s 
[epoch:002, iter:00311] Loss: 1.304 | Acc: 53.229% | time: 16.57s 
