nohup: ignoring input
0.3.1
Starting training
epoch: 1
[epoch:001, iter:00311] Loss: 1.836 | Acc: 32.541% | time: 37.32s 
[epoch:001, iter:00312] Loss: 1.835 | Acc: 32.592% | time: 37.43s 
[epoch:001, iter:00313] Loss: 1.833 | Acc: 32.668% | time: 37.55s 
[epoch:001, iter:00314] Loss: 1.833 | Acc: 32.703% | time: 37.66s 
[epoch:001, iter:00315] Loss: 1.832 | Acc: 32.738% | time: 37.78s 
[epoch:001, iter:00316] Loss: 1.831 | Acc: 32.768% | time: 37.90s 
[epoch:001, iter:00317] Loss: 1.830 | Acc: 32.793% | time: 38.01s 
[epoch:001, iter:00318] Loss: 1.829 | Acc: 32.812% | time: 38.13s 
[epoch:001, iter:00319] Loss: 1.828 | Acc: 32.871% | time: 38.24s 
[epoch:001, iter:00320] Loss: 1.828 | Acc: 32.856% | time: 38.36s 
[epoch:001, iter:00321] Loss: 1.826 | Acc: 32.929% | time: 38.48s 
[epoch:001, iter:00322] Loss: 1.825 | Acc: 32.987% | time: 38.59s 
[epoch:001, iter:00323] Loss: 1.825 | Acc: 32.991% | time: 38.71s 
[epoch:001, iter:00324] Loss: 1.825 | Acc: 32.991% | time: 38.82s 
[epoch:001, iter:00325] Loss: 1.824 | Acc: 32.986% | time: 38.94s 
[epoch:001, iter:00326] Loss: 1.824 | Acc: 32.995% | time: 39.05s 
[epoch:001, iter:00327] Loss: 1.824 | Acc: 33.018% | time: 39.17s 
[epoch:001, iter:00328] Loss: 1.823 | Acc: 33.089% | time: 39.29s 
[epoch:001, iter:00329] Loss: 1.822 | Acc: 33.112% | time: 39.40s 
